Plot,#surv,insect,weed,#start,%survival
3,7,0,0,30,0.233333333
6,5,0,0,30,0.166666667
7,10,0,0,30,0.333333333
15,1,0,0,13,0.076923077
16,1,0,0,30,0.033333333
20,9,0,0,30,0.3
1,18,0,1,30,0.6
2,16,0,1,30,0.533333333
8,17,0,1,30,0.566666667
10,18,0,1,30,0.6
14,15,0,1,30,0.5
21,2,0,1,30,0.066666667
4,20,1,0,30,0.666666667
9,20,1,0,30,0.666666667
11,23,1,0,30,0.766666667
12,27,1,0,30,0.9
18,24,1,0,30,0.8
19,28,1,0,30,0.933333333
5,29,1,1,30,0.966666667
13,23,1,1,30,0.766666667
17,24,1,1,27,0.888888889
22,19,1,1,30,0.633333333
23,28,1,1,30,0.933333333
24,24,1,1,30,0.8
